Classe,1,2,3,4,5,6,7,8,9,10
1,91.0,65.0,109.0,51.0,0.0,97.0,80.0,60.0,76.0,79.0
2,160.0,161.0,151.0,148.0,167.0,0.0,163.0,185.0,146.0,145.0
3,95.0,119.0,103.0,83.0,109.0,124.0,97.0,100.0,0.0,100.0
