Classe,1,2,3,4,5,6,7,8,9,10
1,72.0,101.0,37.0,84.0,76.0,73.0,64.0,42.0,82.0,77.0
2,131.0,146.0,201.0,151.0,148.0,126.0,125.0,123.0,135.0,140.0
3,112.0,113.0,95.0,98.0,95.0,73.0,92.0,77.0,96.0,79.0
