0,1,2
0.15404555485856938,0.7660036560405051,0.07995078910092557
0.06584028608936934,0.9005603411608882,0.03359937274974248
0.13865578791271319,0.7866391543533741,0.07470505773391287
0.22360086231261495,0.6741903467056075,0.10220879098177757
0.4385516899370863,0.4119205345573701,0.14952777550554358
0.3716126456478675,0.48793855649967605,0.1404487978524565
0.1262940823717547,0.8087613343554959,0.06494458327274932
0.27275171587602115,0.6034758145243101,0.12377246959966871
0.12992326009810917,0.799754168061895,0.07032257183999585
0.41900083332905697,0.4314191033072018,0.14958006336374124
0.49076882254232385,0.35758142114055413,0.151649756317122
0.11583232583532511,0.8282863847481039,0.055881289416571
0.13318813763843676,0.7946289166262038,0.07218294573535926
0.1738878354569085,0.7271747627742362,0.09893740176885531
0.16008784347881427,0.7626594800078587,0.07725267651332705
0.5435133764216648,0.3000815303621382,0.15640509321619714
0.48256859975127053,0.362798776466294,0.15463262378243545
0.6205125324396771,0.21319327558040177,0.16629419197992124
0.5370246661377522,0.3112898333241622,0.1516855005380855
0.22101921758395773,0.6454286727959788,0.1335521096200635
0.2376029346865809,0.6560532484662858,0.10634381684713344
0.14417047621896453,0.7793501003842191,0.07647942339681643
0.1721007662270447,0.7322350798252542,0.0956641539477011
0.1828595570874153,0.7308711007961004,0.08626934211648427
0.15815059315533808,0.7651578239578516,0.07669158288681037
0.12253423161649024,0.8147676049013987,0.06269816348211107
0.21824284772962457,0.6827313363837366,0.0990258158866389
0.5798071595026028,0.2534502441000901,0.16674259639730726
0.17102632786755284,0.7369036756111279,0.09206999652131923
0.18377527970145158,0.7126636628535609,0.10356105744498757
0.19769184165792975,0.7104377753965218,0.09187038294554843
0.661050065476049,0.14682893459965984,0.19212099992429105
0.16737484593156268,0.7516521697242575,0.08097298434417992
0.1547730485212558,0.7671408216258648,0.07808612985287931
0.36693404832985915,0.49464660675404637,0.13841934491609453
0.3855468739468621,0.4725008350978554,0.14195229095528256
0.5152233644770963,0.33194420751132336,0.15283242801158034
0.5170945822954189,0.3306689964687883,0.15223642123579278
0.47798128922704647,0.15040712283542318,0.3716115879375304
0.5949452634377665,0.1510094014521115,0.254045335110122
0.7433189801337122,0.13660084091794833,0.12008017894833947
0.31597523155840906,0.5567223762218264,0.12730239221976464
0.38920567436922004,0.14565232359844069,0.4651420020323392
0.1816623837892535,0.10210729242898439,0.7162303237817621
0.27610137960398073,0.18458640990027708,0.5393122104957423
0.1543453466764996,0.0828781231743206,0.7627765301491798
0.13600165109394638,0.0720728073985371,0.7919255415075165
0.36330356100598576,0.1370024344690374,0.49969400452497686
0.6739328839262232,0.19661855887252688,0.12944855720124987
0.6273290248666293,0.1408361229469804,0.23183485218639022
0.2837689615507973,0.11910374317725111,0.5971272952719517
0.22973328914395316,0.13878677632386024,0.6314799345321865
0.2326475577974588,0.1413678686445032,0.625984573558038
0.27437439533845437,0.18235889429877178,0.5432667103627739
0.1646872957121618,0.07849339426710664,0.7568193100207316
0.1853188783439838,0.10435563175391048,0.7103254899021058
0.5272882632830247,0.32061165342250225,0.152100083294473
0.1699640230681377,0.7506466008110823,0.07938937612078012
0.2144369964284038,0.6600262625095397,0.1255367410620566
0.26385310783354554,0.5649768722049764,0.17117001996147824
0.23683305826827836,0.6165600463278063,0.1466068954039153
0.16939701633046586,0.7355287498890181,0.09507423378051603
0.6359275612812663,0.2007784475767842,0.16329399114194962
0.4341084073357141,0.15421542947226072,0.4116761631920252
0.6376245441684005,0.179931898187414,0.18244355764418546
0.656257880381361,0.1566780338294555,0.18706408578918352
0.15358230231089465,0.7612990486832725,0.08511864900583288
0.23357252693309707,0.6233603319468,0.14306714112010294
0.4900680514570094,0.3572589555024152,0.1526729930405755
0.5383178690811619,0.3048848713976453,0.15679725952119292
0.5707969778486959,0.27904543456749775,0.15015758758380654
0.6576710683973738,0.2041873736030926,0.1381415579995337
0.31389612883181334,0.5578349562639672,0.1282689149042196
0.129722325839348,0.8002881926686312,0.06998948149202093
0.14803540364021991,0.7701172576166991,0.08184733874308106
0.13331726443526265,0.8030834070739082,0.06359932849082915
0.13968538192554766,0.7911992365876919,0.06911538148676058
0.21275340732437914,0.6601408026912388,0.1271057899843822
0.21315709562635637,0.6609751780930654,0.12586772628057835
0.14164849475675187,0.7805527703222606,0.07779873492098754
0.24733960245970965,0.5958062201911128,0.15685417734917756
0.07362328822276214,0.8887891709073581,0.037587540869879844
0.21405152364347577,0.687038813120625,0.09890966323589927
0.17060537635561956,0.7333036160943467,0.0960910075500338
0.1503619085397736,0.7669019579606291,0.08273613349959724
0.19379050201857642,0.7137093681638118,0.0925001298176118
0.1877309718140556,0.7043404021823709,0.10792862600357352
0.22329199179786963,0.6423126672617321,0.13439534094039826
0.23039131768282778,0.6283746865583189,0.14123399575885326
0.20556908676330662,0.674235499829728,0.12019541340696538
0.09712268226835855,0.853220974068199,0.04965634366344253
0.19480404679341587,0.7043268565630979,0.1008690966434862
0.1980634163992847,0.6897223840103929,0.11221419959032244
0.2181712644005376,0.653016636521059,0.1288120990784034
0.1957576383169693,0.6939509747573304,0.11029138692570044
0.23157657464868345,0.6277210623067377,0.1407023630445788
0.22907106702141025,0.6324760708183753,0.13845286216021452
0.537043873957802,0.3030544521415366,0.1599016739006615
0.26924497893183746,0.6115052261676434,0.11924979490051917
0.17583465980036198,0.7249962751601402,0.09916906503949778
0.1588061742225467,0.7530518929608533,0.08814193281659996
0.16939483319012258,0.7350945254841793,0.09551064132569823
0.14731819800919094,0.7708552348333955,0.08182656715741365
0.3885507141150525,0.46483223884200436,0.14661704704294315
0.24790457956166542,0.5950094707089338,0.15708594972940074
