Component1,Component2,Cluster,Classe,Similarity
-299.1845083835607,97.31616597351194,2,1,0.5388485888042988
-297.46658297652357,31.838534923770624,2,1,0.8291596754267655
-353.06956222994484,80.01271821884632,2,-1,0.6629669319888379
-183.23406153682913,92.19554373684855,2,-1,0.20955444239343335
-21.962882914080865,67.74119518335254,1,1,0.5166454120533305
-68.4690492209728,32.19464638886916,1,1,0.32865946828830206
-297.0507283817792,51.13675447187239,2,-1,0.6613974738911604
-158.67165163078687,95.90532744919398,2,-1,0.07907897837857736
141.55804613155124,71.09620828384584,1,1,0.340045888869675
264.9277131230913,63.55150610773791,0,1,0.0840764036949262
375.3268745430669,87.1364121577397,0,-1,0.45179837401669587
533.7572511697558,56.5432863755463,0,-1,0.5938652731679127
182.87748670338783,66.60800727666663,1,1,0.20204360397445298
150.62148959915862,103.1965671730211,1,1,0.2733641749441823
69.42316462155782,31.80218827290264,1,-1,0.4761719036241102
453.5093903964589,8.956525087690693,0,-1,0.6733071398779708
370.78642176280164,-6.310886333394649,0,1,0.5366276210814885
334.6576205902122,9.270188231910936,0,1,0.37016763036573785
129.1613908237705,10.967351297904258,1,-1,0.40045041034455464
-57.86097371051392,-11.136917006227122,1,-1,0.3523174222514601
398.88472662266827,-6.169744378424355,0,1,0.6771575735885503
299.81462345457885,-24.087417907624513,0,1,0.26002544825810625
328.39513687428644,-30.50726525993082,0,-1,0.3849279236282396
-12.230922686242366,-9.43352415679135,1,-1,0.5460630045663982
-74.05131450581143,-11.225994079299369,1,1,0.23164733958029438
-493.88854379160637,16.48012106387307,2,3,0.5069197824251893
-251.15118076360284,-8.777264721216568,2,-1,0.677997233754594
-149.60766403213427,88.66884615339728,2,-1,0.07701055408039204
-291.0297083903263,132.58699535968344,2,3,0.47004965355107353
-170.2875706443233,122.66079465299543,2,3,0.13184655318327787
-584.5691422090515,80.44068569765653,2,-1,0.35381069942559173
-481.9383303078654,87.61068920310436,2,-1,0.47607029589255034
-577.0836151848428,109.3469269754437,2,3,0.3528478909199372
-643.0653068800862,46.797874656447505,2,3,0.30225467745348655
-432.72761592333984,72.57467190510255,2,-1,0.5549317751673207
-563.0946551285467,32.12367170340457,2,-1,0.37655146328938505
-497.49625238284943,-28.93245174522974,2,3,0.5071595843902631
-604.1488024799808,-32.79873162799248,2,3,0.35517929546364047
-443.46175171393054,-1.8853740068266234,2,-1,0.6309842466435375
-676.8525747431621,41.87513033081052,2,-1,0.2832209547411809
-293.6960099840102,71.85876358536166,2,3,0.699583511711578
-592.1222069344772,62.49990378576655,2,3,0.36072505973377245
-637.2315751882473,48.07496589923801,2,-1,0.3156633364817575
-316.16626007421667,40.87947403927353,2,-1,0.6653082243345824
-542.8434930777755,31.831918439884475,2,3,0.4005574214770763
-458.12122985107294,40.07853316562432,2,3,0.5226078428700532
-594.52238727957,24.985166370869763,2,-1,0.3485309959002728
-656.5720952753427,-61.48587441610704,2,-1,0.25457779602653263
-432.03441566866377,-88.50435302314074,2,1,0.4317053620444361
-569.7715875275981,-47.771099577373434,2,1,0.31631421378416713
-464.00651257075936,-73.60813069994549,2,-1,0.3846170023004022
-605.9346834917982,-61.47022087794045,2,-1,0.2917658364377008
-499.42369595078037,70.13773142187864,2,1,0.4295969815672763
-70.21670133996474,27.097657017507174,1,1,0.32657749138130454
31.684179095994523,26.886160478653494,1,-1,0.7640056141872805
447.7119326011921,11.950330713231324,0,-1,0.900160591677896
-205.4456944622832,-38.97806315021984,2,1,0.3451579224087412
-270.8824423616345,50.356547792105914,2,1,0.6004177088895474
-100.35237062881185,71.0590145021331,1,-1,0.1759704238880434
253.630511043958,54.64088959081994,0,-1,0.06054003318844381
-313.7225934221434,39.62805268328225,2,1,0.7229517254754817
-220.8384813085529,84.77521386071197,2,1,0.3771422864525885
-135.61917842089338,91.89886884445355,1,-1,0.03561492339114647
436.57889837215157,120.96003962770232,0,-1,0.5546089646966706
324.3648811734545,70.53739824372536,0,1,0.323803362626896
-225.902216660838,59.7656903054085,2,1,0.40029444809370107
-306.9363169283607,90.55650628557169,2,-1,0.5883632008649088
-63.16069118633243,50.15313332093859,1,-1,0.3361090547682083
-360.9981974925166,40.1571388269665,2,3,0.7481739799055241
-364.32781409370625,81.39299040551089,2,3,0.6259032746285417
-312.39093532276115,73.28042572658455,2,-1,0.7165695951281695
-413.86420734941953,66.38611931690735,2,-1,0.6358902676448458
-367.6081007958195,-46.035661927498325,2,3,0.5859033608047247
-512.6788475699017,82.54940013888358,2,3,0.43685066763331737
-399.5395340434568,24.03943674472157,2,-1,0.7082839944631419
-355.0417299325446,54.13531388831973,2,-1,0.7328592977652842
-441.12182607252385,64.00057547675777,2,3,0.5587375723156861
-308.52310578901756,77.86222226008232,2,3,0.6817180775999573
-322.1756907637225,14.357924406832069,2,-1,0.9642986878825982
-237.97975796203593,-25.90294588575216,2,-1,0.5884737765206661
-321.2352791502698,-37.45237059840878,2,3,0.8482625398369162
-461.5272099385596,-43.09348682355403,2,3,0.5605227255268238
-618.7442034484736,-36.149507696184116,2,-1,0.3398316014895396
-278.4014409143606,51.58046838159157,2,-1,0.7053361491757949
-230.76007667080353,56.17067952011024,2,3,0.4959369320226027
-175.9916677186527,123.05403894123714,2,3,0.12796190616511482
-530.313984067486,83.71554451186114,2,-1,0.41358192471847544
184.6252186842553,82.68697849290027,1,-1,0.21568363492050147
-479.67652690652926,29.324145441657777,2,3,0.5238942992033787
-420.696264618275,-29.048126955297164,2,3,0.5936696544052827
-269.7558931253012,64.67982550187492,2,-1,0.5420398078056522
-465.405279061904,76.09276656147432,2,-1,0.48472988172475706
-538.8631217833902,47.772947602745546,2,3,0.42432194631444153
-321.95672287020864,56.01244691221444,2,3,0.6648242022845078
-257.67385466224687,63.65538037283153,2,-1,0.4925286335228988
-311.8814956006088,38.096841579399154,2,-1,0.7481975436997396
-525.3089264713541,-28.60180850714312,2,3,0.46055957941992987
223.09513681554904,128.62309120413937,1,1,0.06389647160751011
314.2076048485237,94.78201673098567,0,-1,0.2675383002186219
-73.85585157808146,89.8479375421258,1,-1,0.24187527788877017
-213.30376746918148,34.75050592318479,2,1,0.32030002948663194
114.80823935087278,93.97263351422299,1,1,0.36687289369295495
98.9364327598073,93.86588037255984,1,-1,0.3915419673155517
217.6673603968079,115.62461070152432,1,-1,0.08011056028877939
65.86678837960312,90.71155581039096,1,1,0.4376136602866715
-23.132707736350767,157.52824014524634,1,1,0.20770151717758234
178.31541878186272,92.32711343306204,1,-1,0.1776240745707568
242.08054736116287,89.78691165958952,1,-1,0.00956550941256118
-2.3271250514092117,85.57472173771777,1,1,0.36195158866000565
246.55243641815787,57.19687374648811,0,1,0.017961960514486397
174.86623091948786,101.10781405156052,1,-1,0.19514984978240013
415.2024278946826,97.90257854533888,0,-1,0.4967846869569824
-304.70381403482884,-30.142376142164892,2,1,0.5851103295395405
-164.61160668322725,-16.6486339006031,2,1,0.11629444167935632
189.2655681863282,-39.07697810210976,1,-1,0.1991697024330631
238.07042485253555,-37.21071323698618,1,-1,0.031193874539178434
-33.69153962333803,-49.329708382797435,1,1,0.3842032370007932
-40.520368503475765,-35.25783644335098,1,1,0.34600404745578517
149.65730020857154,-58.85352700547054,1,-1,0.3236144255042871
-1.3074683549025394,-61.8620865446718,1,-1,0.4841282254518261
-617.4952326017278,32.25770398999305,2,1,0.3287888310784425
-547.2463167744247,25.714040582908353,2,1,0.4034928845295388
-221.3377242237674,57.91044113401222,2,-1,0.4556766344010731
-143.57294946398235,55.949667326713325,2,-1,0.06212956388918267
-283.98465263025344,40.42016644503252,2,3,0.7932330541778664
-265.7780203248559,65.99936369363866,2,3,0.6401582107406297
-258.6167506552172,62.763557728577894,2,-1,0.629524535714696
-527.343397805399,57.55719016680547,2,-1,0.4390716371993867
-258.9940555386621,7.475756477213395,2,3,0.6859133527079201
-273.0884059676912,-2.6750661793857375,2,3,0.7223738564018664
-350.65311685678375,31.569164905169032,2,-1,0.8513565829819906
-252.68017357408917,-7.041448248519771,2,-1,0.703956341088969
-340.7565092097333,-6.967034180435462,2,3,1.0
-580.2464421926552,0.15806965317989352,2,3,0.3861854024460182
-438.4827905361275,8.88157174693987,2,-1,0.6407243629432121
147.3520652506504,-1.2992349540905934,1,-1,0.29857025660226155
289.73555208835273,32.667215856268626,0,1,0.12406661835868416
142.5269605965393,1.8987165603136873,1,1,0.32902975385598443
-151.04314281570896,50.7229950838925,2,-1,0.03381976718084245
-104.4852219625127,29.0324869648133,1,-1,0.10156050549777373
-8.54546910198087,12.070596438756297,1,1,0.3442116106763936
-65.03631148964348,11.95047286977541,1,1,0.20227369902372228
143.73896212874592,-0.5195486777818701,1,-1,0.24945677326844107
103.90445391821913,-13.83952537935295,1,-1,0.31773514487654697
162.77457936118913,-3.9204740976861103,1,1,0.2002614687898906
314.2770439151336,-12.644850248199702,0,1,0.2274051382944745
209.1017188040887,-63.42726121603465,1,-1,0.08847859253419421
462.9733193869399,42.502788173149156,0,-1,0.809652783130323
568.2224368303191,56.71396139704348,0,1,0.5972828586123861
530.0660683540846,41.64201440260746,0,1,0.6826989593441312
233.50744769740572,71.7705603513308,1,-1,0.052889842113379326
-60.622475039500046,31.52860575759894,1,-1,0.38093375861396794
184.84377461386157,50.28917965396141,1,1,0.22861707195135528
403.5298793275597,63.30375357560911,0,1,0.5465653071091024
186.53573210403738,73.97920736305963,1,-1,0.18557417173830737
378.99408563613747,-54.9933634294938,0,-1,0.565285385868972
1351.4799156727565,14.505027864645626,0,2,0.06976161435550687
1143.823931767128,11.950083380347792,0,2,0.12450092587654626
1295.6905773959509,71.12344346067994,0,-1,0.08051159473475034
1323.8258259120341,-30.54738210977831,0,-1,0.07556573364591734
1023.4138308508343,-74.21925658800961,0,2,0.16469097089555096
390.76412098511446,-93.61064038497662,0,2,0.49743909956307564
523.2565612601509,19.623748580270444,0,-1,0.7396959461998011
1127.3107163751604,14.940512679631809,0,-1,0.1297779155691995
1058.3770937190613,-18.476590969711765,0,2,0.1539457406651007
1495.140319228026,-19.507052354253005,0,2,0.042720016876048206
1812.429826996525,41.10048436218301,0,-1,0.0
-332.4124020986594,-68.90199310948589,2,-1,0.7558484598881298
-302.1401687874494,-36.283583357584405,2,2,0.719707261169502
-380.18728291650814,-94.10585026415214,2,2,0.5339020222160306
-347.9954490298911,-30.73213176288033,2,-1,0.8114065537586567
-453.49591880842286,6.818587794850714,2,-1,0.5319130809004918
-196.6646968531545,51.67078546517985,2,3,0.2199258787631616
-510.3676559188108,-2.0471284248620236,2,3,0.4657234328507479
-19.599126284803333,-6.425020028065319,1,-1,0.5849840714193509
-231.75032717840895,-46.663650751627415,2,-1,0.5054975322489151
-275.2375534763137,-47.99964643718903,2,3,0.645876796608884
-486.69186322542555,-48.91997116334932,2,3,0.4950481272586754
-493.18082785936303,-54.42195842857882,2,-1,0.49326667759090326
-659.2686812614967,-24.24076448942509,2,-1,0.294047382907762
-43.10473965134702,94.92606184950517,1,3,0.3654227030914391
-131.0690550765123,48.64336281985385,1,3,0.06617213853899295
22.15673997049271,8.900401132852949,1,-1,0.7012970997860398
-36.861968892810864,39.808485530492646,1,-1,0.4988972111895499
19.691301006515232,43.966031076775494,1,3,0.7308377133939329
-180.47448982847527,39.90958730393726,2,3,0.24747859605321232
146.22123729130521,125.12549299353952,1,-1,0.2574469850028348
-0.8026632840410457,57.63103840129213,1,-1,0.5284582989259402
-7.036524509939454,91.99641282396976,1,3,0.4464948415165487
-16.312713697072695,50.715524657272454,1,3,0.536607417905366
61.618110941873056,51.677621991417084,1,-1,0.6660696340222406
11.878577046960345,64.7820046843458,1,-1,0.5952479455679635
-180.57431924206332,30.629654070150707,2,3,0.23368950415141987
-468.1169323942871,23.243777782992254,2,3,0.533988355738383
-586.784029203867,-30.825610712612047,2,-1,0.3757038889944192
-526.8984944512841,0.7606229252625099,2,-1,0.45723794920299377
-726.5973792763062,-0.9299155670243522,2,3,0.2490491320886451
-742.5711694126646,25.497056348392448,2,3,0.23882061361587958
-622.8760007322671,-24.44395012651694,2,-1,0.3283284305383426
-514.0027999340261,-15.520313459983015,2,-1,0.4673854827978571
-520.4049173390083,-25.42098152472255,2,3,0.44849448660653224
-374.52511662342465,12.29355671277142,2,2,0.43533862920906896
247.4725149124331,23.106560776550623,0,-1,0.0011814704252518515
154.16431404867262,91.80944835854291,1,-1,0.16861296644977386
-91.11644104234563,8.324825588569638,1,2,0.08692879864996284
338.6976156214,-108.92956000592244,0,2,0.23769617332366455
-429.7642835029269,-59.85869995800772,2,-1,0.4934565721726526
-201.5555619740211,-0.8344069262564062,2,-1,0.2405899949726179
-549.230367273862,-67.97453707850207,2,2,0.36978473306907567
613.6833355041795,5.886455842284761,0,2,0.5226862374519353
412.5298299518388,-17.068679005347406,0,-1,0.6056053915139458
626.4588353489032,5.134296837412194,0,-1,0.44504752962054617
29.167918050577555,10.677119387068387,1,2,0.4597076222498292
958.5559094088078,32.71041926548986,0,2,0.19481132755639508
1041.5430082063842,12.121357557662975,0,-1,0.1561072205678683
129.52460260500493,-0.6493871351870553,1,-1,0.3701022676364979
385.0822825286798,40.348460001733486,0,2,0.576523073577191
-116.29153075662032,55.909190378234655,1,2,0.10337107442442506
97.91622540422895,-102.49811951408398,1,-1,0.3646090754528858
502.28841978590685,-64.55125040209259,0,-1,0.7513051324704284
862.2490776357472,-106.53755732604228,0,2,0.24531208748409805
1162.5234302719657,-35.28473558383263,0,2,0.11695213361842338
1183.2092921678761,-32.775289779607135,0,-1,0.11058685699276627
748.4190277656385,-89.00909549298592,0,-1,0.33448013943374966
493.1374606527479,-72.76356859008001,0,2,0.6918821298115133
543.4287005059846,-68.62635396007289,0,2,0.6353573520496895
598.3676900707085,-20.503994773429156,0,-1,0.4863254609815052
