Component1,Component2,Cluster,Classe,Similarity
-299.1845083835607,97.31616597351194,1,1,0.5388485993918238
-297.46658297652357,31.838534923770624,1,1,0.8291596734952297
-353.06956222994484,80.01271821884632,1,1,0.6629669403994086
-183.23406153682913,92.19554373684855,1,1,0.20955446813738698
-21.962882914080865,67.74119518335254,0,1,0.5166453334840132
-68.4690492209728,32.19464638886916,0,1,0.32865939696249213
-297.0507283817792,51.13675447187239,1,1,0.661397480218138
-158.67165163078687,95.90532744919398,1,1,0.0790790051661785
141.55804613155124,71.09620828384584,0,1,0.3400459352201116
264.9277131230913,63.55150610773791,2,1,0.08407638969500186
375.3268745430669,87.1364121577397,2,1,0.451798360569032
533.7572511697558,56.5432863755463,2,1,0.5938652447484764
182.87748670338783,66.60800727666663,0,1,0.20204364901921712
150.62148959915862,103.1965671730211,0,1,0.27336421390228105
69.42316462155782,31.80218827290264,0,1,0.4761719181285907
453.5093903964589,8.956525087690693,2,1,0.6733071166592196
370.78642176280164,-6.310886333394649,2,1,0.5366276098961079
334.6576205902122,9.270188231910936,2,1,0.37016761832434064
129.1613908237705,10.967351297904258,0,1,0.40045046096476844
-57.86097371051392,-11.136917006227122,0,1,0.3523173564323411
398.88472662266827,-6.169744378424355,2,1,0.6771575616423665
299.81462345457885,-24.087417907624513,2,1,0.26002543480352014
328.39513687428644,-30.50726525993082,2,1,0.3849279123725583
-12.230922686242366,-9.43352415679135,0,1,0.546062935795495
-74.05131450581143,-11.225994079299369,0,1,0.23164729026105013
-493.88854379160637,16.48012106387307,1,3,0.5069197930468311
-251.15118076360284,-8.777264721216568,1,3,0.6779972353852285
-149.60766403213427,88.66884615339728,1,3,0.07701058640087077
-291.0297083903263,132.58699535968344,1,3,0.4700496658420438
-170.2875706443233,122.66079465299543,1,3,0.1318465787446491
-584.5691422090515,80.44068569765653,1,3,0.3538107101693676
-481.9383303078654,87.61068920310436,1,3,0.4760703067988433
-577.0836151848428,109.3469269754437,1,3,0.3528479017554843
-643.0653068800862,46.797874656447505,1,3,0.3022546878999094
-432.72761592333984,72.57467190510255,1,3,0.5549317855559365
-563.0946551285467,32.12367170340457,1,3,0.3765514739256405
-497.49625238284943,-28.93245174522974,1,3,0.5071595947870867
-604.1488024799808,-32.79873162799248,1,3,0.35517930594276403
-443.46175171393054,-1.8853740068266234,1,3,0.6309842565229903
-676.8525747431621,41.87513033081052,1,3,0.2832209651039338
-293.6960099840102,71.85876358536166,1,3,0.6995835165584215
-592.1222069344772,62.49990378576655,1,3,0.36072507043954805
-637.2315751882473,48.07496589923801,1,3,0.3156633470149123
-316.16626007421667,40.87947403927353,1,3,0.6653082310071107
-542.8434930777755,31.831918439884475,1,3,0.4005574321854354
-458.12122985107294,40.07853316562432,1,3,0.5226078533894006
-594.52238727957,24.985166370869763,1,3,0.34853100650191704
-656.5720952753427,-61.48587441610704,1,1,0.25457780625648285
-432.03441566866377,-88.50435302314074,1,1,0.43170537239837337
-569.7715875275981,-47.771099577373434,1,1,0.3163142242705891
-464.00651257075936,-73.60813069994549,1,1,0.3846170130450707
-605.9346834917982,-61.47022087794045,1,1,0.2917658468593515
-499.42369595078037,70.13773142187864,1,1,0.4295969923239512
-70.21670133996474,27.097657017507174,0,1,0.326577417499302
31.684179095994523,26.886160478653494,0,1,0.764005569295393
447.7119326011921,11.950330713231324,2,1,0.900160566913165
-205.4456944622832,-38.97806315021984,1,1,0.3451579421409686
-270.8824423616345,50.356547792105914,1,1,0.6004177173216384
-100.35237062881185,71.0590145021331,0,1,0.17597036910358554
253.630511043958,54.64088959081994,2,1,0.06054001567790379
-313.7225934221434,39.62805268328225,1,1,0.7229517306314294
-220.8384813085529,84.77521386071197,1,1,0.37714230456965325
-135.61917842089338,91.89886884445355,0,1,0.035614881823377464
436.57889837215157,120.96003962770232,2,1,0.554608945453302
324.3648811734545,70.53739824372536,2,1,0.32380335088549417
-225.902216660838,59.7656903054085,1,1,0.40029446471961283
-306.9363169283607,90.55650628557169,1,1,0.5883632102497766
-63.16069118633243,50.15313332093859,0,1,0.336108985316398
-360.9981974925166,40.1571388269665,1,3,0.7481739866769329
-364.32781409370625,81.39299040551089,1,3,0.6259032838757405
-312.39093532276115,73.28042572658455,1,3,0.7165696006904071
-413.86420734941953,66.38611931690735,1,3,0.6358902775135019
-367.6081007958195,-46.035661927498325,1,3,0.5859033691197463
-512.6788475699017,82.54940013888358,1,3,0.43685067857561577
-399.5395340434568,24.03943674472157,1,3,0.7082840031735776
-355.0417299325446,54.13531388831973,1,3,0.732859304858568
-441.12182607252385,64.00057547675777,1,3,0.5587375827998861
-308.52310578901756,77.86222226008232,1,3,0.6817180841200857
-322.1756907637225,14.357924406832069,1,3,0.9642986842427713
-237.97975796203593,-25.90294588575216,1,3,0.5884737830688057
-321.2352791502698,-37.45237059840878,1,3,0.8482625387536545
-461.5272099385596,-43.09348682355403,1,3,0.5605227353800702
-618.7442034484736,-36.149507696184116,1,3,0.3398316118915884
-278.4014409143606,51.58046838159157,1,3,0.7053361524660976
-230.76007667080353,56.17067952011024,1,3,0.49593694497927754
-175.9916677186527,123.05403894123714,1,3,0.12796192985538413
-530.313984067486,83.71554451186114,1,3,0.41358193571021473
184.6252186842553,82.68697849290027,0,3,0.21568368455084663
-479.67652690652926,29.324145441657777,1,3,0.5238943097271412
-420.696264618275,-29.048126955297164,1,3,0.5936696637206197
-269.7558931253012,64.67982550187492,1,3,0.5420398178873956
-465.405279061904,76.09276656147432,1,3,0.4847298925888367
-538.8631217833902,47.772947602745546,1,3,0.42432195710346476
-321.95672287020864,56.01244691221444,1,3,0.6648242094465712
-257.67385466224687,63.65538037283153,1,3,0.4925286455077521
-311.8814956006088,38.096841579399154,1,3,0.7481975473991543
-525.3089264713541,-28.60180850714312,1,3,0.4605595898892475
223.09513681554904,128.62309120413937,0,1,0.06389650886958487
314.2076048485237,94.78201673098567,2,1,0.26753828824127013
-73.85585157808146,89.8479375421258,0,1,0.2418752254046549
-213.30376746918148,34.75050592318479,1,1,0.32030004804319445
114.80823935087278,93.97263351422299,0,1,0.3668729259813669
98.9364327598073,93.86588037255984,0,1,0.3915419925411229
217.6673603968079,115.62461070152432,0,1,0.08011059854762737
65.86678837960312,90.71155581039096,0,1,0.4376136674180834
-23.132707736350767,157.52824014524634,0,1,0.20770149763309587
178.31541878186272,92.32711343306204,0,1,0.17762411168280312
242.08054736116287,89.78691165958952,0,1,0.009565545034945777
-2.3271250514092117,85.57472173771777,0,1,0.3619515601192532
246.55243641815787,57.19687374648811,2,1,0.01796194303735532
174.86623091948786,101.10781405156052,0,1,0.19514988722371507
415.2024278946826,97.90257854533888,2,1,0.4967846701167905
-304.70381403482884,-30.142376142164892,1,1,0.5851103378678887
-164.61160668322725,-16.6486339006031,1,1,0.11629446931950127
189.2655681863282,-39.07697810210976,0,1,0.19916975299346518
238.07042485253555,-37.21071323698618,0,1,0.0311939173507213
-33.69153962333803,-49.329708382797435,0,1,0.38420318497650185
-40.520368503475765,-35.25783644335098,0,1,0.34600399868694953
149.65730020857154,-58.85352700547054,0,1,0.32361447720647074
-1.3074683549025394,-61.8620865446718,0,1,0.4841281830817755
-617.4952326017278,32.25770398999305,1,1,0.3287888416435091
-547.2463167744247,25.714040582908353,1,1,0.40349289525571075
-221.3377242237674,57.91044113401222,1,3,0.455676649650237
-143.57294946398235,55.949667326713325,1,3,0.06212960237610421
-283.98465263025344,40.42016644503252,1,3,0.7932330529997585
-265.7780203248559,65.99936369363866,1,3,0.6401582171455783
-258.6167506552172,62.763557728577894,1,3,0.6295245422375134
-527.343397805399,57.55719016680547,1,3,0.43907164812516186
-258.9940555386621,7.475756477213395,1,3,0.6859133549390585
-273.0884059676912,-2.6750661793857375,1,3,0.7223738572415622
-350.65311685678375,31.569164905169032,1,3,0.8513565877295167
-252.68017357408917,-7.041448248519771,1,3,0.7039563410325204
-340.7565092097333,-6.967034180435462,1,3,0.9999999999999999
-580.2464421926552,0.15806965317989352,1,3,0.3861854130728789
-438.4827905361275,8.88157174693987,1,3,0.640724372816121
147.3520652506504,-1.2992349540905934,0,1,0.2985703002506136
289.73555208835273,32.667215856268626,2,1,0.12406660699156602
142.5269605965393,1.8987165603136873,0,1,0.3290298001396553
-151.04314281570896,50.7229950838925,1,1,0.03381979160823656
-104.4852219625127,29.0324869648133,0,1,0.10156047287614145
-8.54546910198087,12.070596438756297,0,1,0.3442115820297472
-65.03631148964348,11.95047286977541,0,1,0.2022736648446647
143.73896212874592,-0.5195486777818701,0,1,0.24945680632522238
103.90445391821913,-13.83952537935295,0,1,0.31773516731114493
162.77457936118913,-3.9204740976861103,0,1,0.20026150292639555
314.2770439151336,-12.644850248199702,2,1,0.22740512654754907
209.1017188040887,-63.42726121603465,0,1,0.08847863005044354
462.9733193869399,42.502788173149156,2,1,0.8096527546477245
568.2224368303191,56.71396139704348,2,1,0.5972828278865306
530.0660683540846,41.64201440260746,2,1,0.6826989258708781
233.50744769740572,71.7705603513308,0,1,0.05288988757566149
-60.622475039500046,31.52860575759894,0,1,0.3809336789345247
184.84377461386157,50.28917965396141,0,1,0.22861712490481267
403.5298793275597,63.30375357560911,2,1,0.5465652915234646
186.53573210403738,73.97920736305963,0,1,0.18557421468399016
378.99408563613747,-54.9933634294938,2,2,0.565285374267874
1351.4799156727565,14.505027864645626,2,2,0.06976161065696385
1143.823931767128,11.950083380347792,2,2,0.12450091921282669
1295.6905773959509,71.12344346067994,2,2,0.08051159044638734
1323.8258259120341,-30.54738210977831,2,2,0.07556572963608266
1023.4138308508343,-74.21925658800961,2,2,0.16469096206125322
390.76412098511446,-93.61064038497662,2,2,0.4974390852232494
523.2565612601509,19.623748580270444,2,2,0.7396959094806351
1127.3107163751604,14.940512679631809,2,2,0.12977790860984062
1058.3770937190613,-18.476590969711765,2,2,0.1539457323971588
1495.140319228026,-19.507052354253005,2,2,0.04272001462523278
1812.429826996525,41.10048436218301,2,2,0.0
-332.4124020986594,-68.90199310948589,1,2,0.7558484631618069
-302.1401687874494,-36.283583357584405,1,2,0.7197072643324357
-380.18728291650814,-94.10585026415214,1,2,0.5339020315773261
-347.9954490298911,-30.73213176288033,1,3,0.8114065574647494
-453.49591880842286,6.818587794850714,1,3,0.5319130912889146
-196.6646968531545,51.67078546517985,1,3,0.21992590051369987
-510.3676559188108,-2.0471284248620236,1,3,0.4657234435325509
-19.599126284803333,-6.425020028065319,0,3,0.5849839785911951
-231.75032717840895,-46.663650751627415,1,3,0.5054975433804162
-275.2375534763137,-47.99964643718903,1,3,0.6458768013851289
-486.69186322542555,-48.91997116334932,1,3,0.4950481376735737
-493.18082785936303,-54.42195842857882,1,3,0.49326668794011075
-659.2686812614967,-24.24076448942509,1,3,0.2940473932408795
-43.10473965134702,94.92606184950517,0,3,0.36542264421072035
-131.0690550765123,48.64336281985385,0,3,0.0661720862758407
22.15673997049271,8.900401132852949,0,3,0.7012970465762817
