Classe,1,2,3,4,5,6,7,8,9,10
-1,78.0,90.0,83.0,83.0,79.0,68.0,70.0,60.0,78.0,74.0
1,54.0,76.0,26.0,62.0,58.0,55.0,48.0,32.0,62.0,56.0
2,98.0,110.0,151.0,116.0,111.0,94.0,93.0,92.0,101.0,105.0
3,85.0,84.0,73.0,72.0,71.0,55.0,70.0,58.0,72.0,61.0
