Classe,1,2,3,4,5,6,7,8,9,10
-1,157.0,180.0,166.0,166.0,159.0,136.0,140.0,120.0,156.0,148.0
1,37.0,53.0,17.0,41.0,39.0,37.0,31.0,21.0,40.0,37.0
2,65.0,72.0,101.0,78.0,74.0,62.0,62.0,62.0,67.0,70.0
3,56.0,55.0,49.0,48.0,47.0,37.0,48.0,39.0,50.0,41.0
