Classe,1,2,3,4,5,6,7,8,9,10
-1,236.0,270.0,249.0,249.0,239.0,204.0,210.0,181.0,234.0,222.0
1,18.0,27.0,9.0,21.0,18.0,18.0,15.0,11.0,21.0,19.0
2,33.0,35.0,51.0,39.0,37.0,31.0,32.0,31.0,33.0,35.0
3,28.0,28.0,24.0,24.0,25.0,19.0,24.0,19.0,25.0,20.0
