Classe,1,2,3,4,5,6,7,8,9,10
-1,86.0,86.0,90.0,70.0,69.0,55.0,85.0,86.0,55.0,81.0
1,68.0,49.0,82.0,37.0,0.0,73.0,61.0,46.0,57.0,61.0
2,120.0,121.0,115.0,113.0,125.0,0.0,122.0,139.0,110.0,108.0
3,72.0,89.0,76.0,62.0,82.0,93.0,72.0,74.0,0.0,74.0
