Component1,Component2,Cluster,Classe,Similarity
109.63461092150578,43.42813774000916,2,1,0.47620806326697895
305.4451914427898,-31.106969951891756,0,1,0.05249175102222947
232.72274611075932,60.78868411676598,2,1,0.16039993303103273
382.05042835651557,32.27854856323319,0,-1,0.3005160814404726
497.8823463473477,50.463034362374515,0,1,0.6592550999349844
672.6880618072576,30.846844365143,0,1,0.6725562879900344
673.1733305932319,26.927063790557156,0,1,0.6872577403682503
68.10423810433804,28.02617773684881,2,-1,0.5588388404401072
-97.82677181827285,8.906060437208055,2,1,0.3281889577243462
650.4307889026657,-18.859927490095004,0,1,0.7239888365011018
546.9410289330708,-28.276193594226072,0,1,0.8552378122963751
317.2649408390391,68.35498208711937,0,-1,0.07722914057802621
604.2478950082939,51.21973667273761,0,1,0.7857770910534698
689.3841179139654,44.96307296054732,0,1,0.6377774804245759
639.4702696273814,33.040931218754565,0,1,0.7473137903519005
60.475491506247636,6.814225558740532,2,-1,0.7359501026347868
222.8970101793161,14.05893960865626,2,1,0.20706705982298867
633.2082814960556,-27.041960077013073,0,1,0.7684676530420804
-380.8074009103658,25.40416696528206,1,2,0.8557028541082297
-138.75607257357842,107.25861370961996,2,-1,0.15465946138236075
-158.11197757675484,-7.002164618231404,2,2,0.14945629171629682
-351.3798501502341,-53.594525532321086,1,2,0.7740741578582886
55.06954358557232,46.08085234353587,2,1,0.6317328951316887
178.79957857943782,34.41042619996102,2,-1,0.3208335009208785
289.4780163356136,61.36059586515535,2,1,0.017121180567092553
448.2275466733597,23.481081522539057,0,1,0.5393911978594776
96.85420676956892,38.07584113780052,2,1,0.5377066492277685
64.74844564644718,81.83360517682786,2,-1,0.5435053565966956
-17.133781754120946,37.552499357957686,2,1,0.5032860459812727
366.848547760831,7.589907613451146,0,1,0.23799851201679667
284.5329872472248,-11.02003500004821,2,1,0.0323201777548785
248.85132479642243,7.215461529608717,2,-1,0.12776908764925188
42.96632957064094,11.70343987257769,2,1,0.6098165020408883
-144.27758102081873,-11.742952536910536,2,1,0.182183954380309
313.8614091910031,-16.033037090548646,0,1,0.0811294016468912
213.82673504024365,-36.723685414055865,2,-1,0.23553492662480013
242.37748533944045,-44.09467758494827,2,1,0.15031501305978412
-98.40855786106908,-15.731090618048711,2,1,0.35861049798800604
-160.9841655172262,-48.40248412343456,2,1,0.10729636252294505
-427.7465296147677,-10.135787534634233,1,-1,0.8580357514634893
-612.3436336022374,4.326415520383421,1,3,0.4654158828437711
-509.7000325413542,40.993143798849815,1,3,0.5936068709932427
-664.9427561897494,-49.95101502069369,1,3,0.3966064510010703
-560.6969810554494,8.817397622109013,1,-1,0.5639969253242796
-748.5523225830318,-56.188211970818685,1,3,0.3234091438407207
-662.6833411910923,54.86567518570956,1,3,0.4053685413206958
-679.7598474930043,52.355932749892645,1,3,0.38576260663035167
