Classe,1,2,3,4,5,6,7,8,9,10
-1,172.0,172.0,181.0,140.0,138.0,110.0,170.0,172.0,110.0,162.0
1,46.0,34.0,54.0,25.0,0.0,49.0,41.0,31.0,38.0,40.0
2,81.0,81.0,77.0,76.0,84.0,0.0,82.0,93.0,74.0,72.0
3,47.0,58.0,51.0,41.0,54.0,62.0,47.0,49.0,0.0,50.0
