Component1,Component2,Cluster,Classe,Similarity
-180.42881249484049,-30.141329784478557,1,2,0.25756224083384494
61.19079343454075,-53.441704248054435,0,2,0.37163503623851635
42.294422131726265,-33.18229694321741,0,2,0.6899551823329653
-150.76008431264472,-22.99125183190415,0,-1,0.19671134132978674
-350.6267607697074,8.891406131059824,1,1,0.5442102165585969
-49.02165093611484,7.563186684862046,0,1,0.4886987687950368
-133.3841209788451,14.828970439163442,0,1,0.24144292938577672
-296.0475259794233,91.40592549067225,1,-1,0.5126758564449909
-299.10055912354835,91.12487314826097,1,2,0.5074371753833613
-309.97024475742035,103.87123327689699,1,2,0.4296873928171674
-372.70369353539456,20.851965365314072,1,2,0.5102395709876
-306.2461384415973,12.724700877895714,1,-1,0.6019119667353912
-217.9138390204207,12.573423535852243,1,2,0.4027088641491692
-198.2518239063828,-5.789078979794425,1,2,0.3567625473765996
-253.26310871697228,-7.395042795258092,1,2,0.5780463231912754
-128.32892471039997,-4.494993086529462,0,-1,0.29027389126707637
-350.5364357574389,-92.26365957248356,1,1,0.5551215774502534
-197.6636079974886,-107.2973060765307,1,1,0.23534174155913457
-97.31166368180902,-94.66035663566551,0,1,0.38341402722450635
-302.2924910419829,-73.41088677508877,1,-1,0.5069264170609518
-182.34890199774077,-63.588681869082734,1,1,0.2072245881680459
-561.9299583539137,-103.39914449803722,1,1,0.3307042275901253
-499.7266085876543,-109.69041310414507,1,1,0.3796614324422265
-303.8383124155854,-80.69445035351447,1,-1,0.44666950984192777
-428.739928463208,-83.07607449227176,1,1,0.39217131645639913
-406.072631047576,118.08827466840484,1,1,0.46000045733341044
-495.3110631056707,-40.864481152577966,1,1,0.32907254895110105
-73.5481591293451,-47.62705830782318,0,-1,0.5109270258118357
-126.79851933640066,-45.07835008283028,0,3,0.36305226374152366
-261.7285903252575,-42.70976860026171,1,3,0.7494763728633709
-394.8862724501266,-33.81147567167551,1,3,0.6206372076160482
-338.56434148214953,-26.93201874215444,1,-1,0.7482938516164994
-436.6894252440352,-22.403955881877437,1,3,0.5175836672215368
-17.551836508131373,-14.522432901456,0,3,0.8308557234620457
139.9904529352283,-19.01281698605345,0,3,0.3292216074536456
437.1403535819694,-34.65120272324657,2,-1,0.4564184305167316
308.4092106137749,-31.240783488391543,2,3,0.082620801090309
351.1960270529163,-31.3406004991256,2,3,0.198160661040375
-301.39186476620443,-21.142781275665783,1,3,0.4617994477214522
-276.6158838887594,-19.35587694635666,1,-1,0.6957527984343113
-44.24939948102974,-14.494778708153433,0,3,0.9046248966697106
23.97588882844093,-4.06701743137549,0,3,0.7407642979772824
174.01211717829335,2.6481848661071865,0,3,0.23611943687590498
-365.5086864423058,20.671746380230616,1,-1,0.7229646122197644
-137.44928334686654,12.606688958588592,0,3,0.27462972115402673
-428.557116907509,-61.86059379067203,1,3,0.5122499859763421
-347.6729247704827,-71.69168037898388,1,3,0.5536796932631332
-384.1070502056598,-69.60207064254851,1,-1,0.5435841977288507
-502.4440823711828,-60.812814665939044,1,3,0.4150595121918732
-557.0271826161559,29.32797237016632,1,3,0.3656454999632124
-514.6319212020255,34.66388042627486,1,3,0.4117382331704367
-394.8984120094626,20.310021139391466,1,-1,0.6206355026646171
-101.04485965238484,6.325914953175015,0,3,0.38471680111747175
-314.3766194550276,17.113623859314572,1,3,0.8014977235487071
-253.74308270570828,1.545792897824299,1,3,0.4234768548382708
-448.67999255001655,27.233261217784758,1,-1,0.5104125973928317
-553.0282557194945,27.315274790640217,1,3,0.3655844891036566
-381.63377065754423,18.037241070843237,1,3,0.6396096668628493
-464.70118374426244,17.394371301164483,1,3,0.47569898146759826
-398.46345329673534,25.3518409853217,1,-1,0.6074879228093675
-520.0933379078815,25.333695741915363,1,3,0.4052363772688128
-370.60602239846116,-29.72812247203646,1,3,0.6916378310886782
-291.40743489910994,-27.718400819385835,1,3,0.8740219990789462
-485.88783303889835,-19.31044510217839,1,-1,0.4287089657501306
-281.87207119861864,-5.2566510907266775,1,3,0.8579200502925051
-358.3954203326813,-8.792803878040672,1,3,0.6437399275882478
-438.7307324544164,-12.188228370241973,1,3,0.45537892726110174
-261.3832384041559,-10.036358410799323,1,-1,0.6416575203964874
-427.78077021667616,-4.640408216412766,1,3,0.5427483202101058
-471.5132893140628,-2.810244654892358,1,3,0.4303759823563471
-392.353544203409,12.111440600351358,1,3,0.6293063334456606
-471.876485205103,5.933989452250614,1,-1,0.4710973065072843
-404.67484338720226,9.753327042304392,1,3,0.6023903205154586
-601.0712076002959,-6.994000350129937,1,3,0.3132348415827968
-58.51387112950658,-63.33487015978652,0,1,0.49981855796255625
197.95632755463942,-57.07859697231912,0,-1,0.1552722578659398
0.9010386285209506,-58.20333255013358,0,1,0.602155120007738
-135.07420891702043,-73.91565433311666,0,1,0.167663971386397
23.118476781741606,-71.80525923579994,0,1,0.36629193316154507
456.1939876359871,-67.02212304605213,2,-1,0.409731772852443
-289.6028114523949,147.07687017197247,1,1,0.427947189859724
-2.3143726763835275,143.20418818735953,0,1,0.32639617895443296
-113.72636021784842,126.64713747168884,0,1,0.200138694705146
-309.7643496783804,134.7490153996465,1,-1,0.48513528749259094
212.39829119349645,11.278325004654818,0,1,0.10610982640669608
576.2628557535985,20.744525370543528,2,1,1.0
681.9322892209724,23.909340300405034,2,1,0.8268605841740613
642.996265902325,29.755453445846456,2,-1,0.9001066334244667
346.4277830671243,24.31042165667273,2,1,0.21711196555259815
-35.31196666850224,-27.429334990514946,0,3,0.9607535789621942
-104.68601682292979,-26.15111127376977,0,3,0.543973878899288
-130.7774291772398,-25.757331295575995,0,-1,0.35080918995308097
-127.92615836412494,0.2703480631536763,0,3,0.2994129881863765
-154.90075677522486,16.199667396706957,0,3,0.15593594413836742
-291.3019678785164,11.342498209265415,1,3,0.9104524941127354
-236.71288680078158,25.538995209282575,1,-1,0.679458085188485
-228.53545450503964,28.97317592036319,1,3,0.6576257821033897
-265.88665084825743,22.16936082665893,1,3,0.7745275197708996
-61.570208624056136,-39.80624450410372,0,3,0.5824204290464439
-272.59125687455514,-33.18092481198764,1,-1,0.7951017411694234
-259.02447783304046,-32.782281753480305,1,3,0.7397007394106017
-439.45580379730575,-30.489808679646472,1,3,0.515411410318354
-170.42457056162948,57.68534172918979,1,3,0.16203762947284184
-103.6174495295844,58.18685212115423,0,-1,0.2858907117341003
-169.853593331787,74.42121565193685,1,3,0.21176253789485555
-319.81299540325836,67.23038989099422,1,3,0.7055978532542944
-216.87937441535655,60.6117507762124,1,3,0.41710537575485396
-317.48795640493904,51.53487348078656,1,-1,0.6489511768034664
-105.55900471072982,69.57605575532355,0,3,0.30730354026936935
-151.5590747892578,75.99858207838966,0,3,0.12484286368263853
-242.8685180039755,78.32629526880669,1,3,0.5337814777655494
-464.5885516704354,69.21629824569976,1,-1,0.41833247492785275
-472.9238239828216,-34.32597411322578,1,3,0.46290086154110677
-412.79192058912315,-47.77259022567503,1,3,0.5689710119652727
-611.9751489567532,17.153274524940457,1,3,0.31275827797930567
-628.357130289272,6.186016950077374,1,-1,0.301069007608862
-508.4278588802032,24.917617324604947,1,3,0.4094404418297053
-399.71352144782304,17.38138513108086,1,3,0.6023553437683826
-405.7752991399544,22.8237525525158,1,3,0.5666038166777474
-290.6231888002111,-44.37401728994534,1,-1,0.5883431762562339
40.17530368198072,-55.66090253281003,0,1,0.5798054382726241
-3.701430030060692,-61.75259637022074,0,1,0.5860128227223256
-273.56548962647037,-162.0428418335129,1,1,0.3471401189923893
-104.08415082054921,-151.33508209763806,0,-1,0.27321330181843906
23.51851228438477,-157.320723772868,0,1,0.37821065466090764
-5.470338218649545,-161.22597357021874,0,1,0.3790108430122259
-283.28145037236106,-159.89489178733018,1,1,0.35173439467887313
-17.43503471976021,-118.83962655095397,0,-1,0.45336776799645295
-56.35328476545317,-115.86317457352511,0,1,0.41510012190981427
0.8677373619316313,-123.73975865127251,0,1,0.45310441106781085
-72.18424038254966,-118.30383845250498,0,1,0.3961286109535702
-189.20043075867886,-120.89997384310286,1,-1,0.20017462796714458
-428.94919056304786,61.281920292569254,1,2,0.44278111936472087
-333.5835463878457,71.59281675436696,1,2,0.6238638959801586
-459.6472453165233,138.03598507455098,1,2,0.38187180231624884
947.4952014609495,124.19245334995935,2,-1,0.4038158932513136
657.1195103040371,105.49669944779293,2,2,0.7195134029568444
874.9613477664326,90.49245622351378,2,2,0.47846279202953146
