Classe,1,2,3,4,5,6,7,8,9,10
-1,259.0,258.0,272.0,211.0,207.0,165.0,255.0,258.0,166.0,243.0
1,23.0,16.0,27.0,13.0,0.0,25.0,21.0,16.0,19.0,19.0
2,40.0,42.0,39.0,38.0,42.0,0.0,41.0,46.0,37.0,36.0
3,24.0,29.0,25.0,20.0,27.0,31.0,23.0,25.0,0.0,26.0
