Component1,Component2,Cluster,Classe,Similarity
-790.2389998152748,63.21208430278466,1,3,0.4932068274086141
-853.0392138831697,40.52114335299143,1,3,0.4630068297780514
-884.5811710859132,29.549845544497032,1,-1,0.4490845409082347
-439.56466225731594,19.657050453132513,1,-1,0.797764233669805
-347.35128024858386,77.30756112137385,1,3,0.8640786251229309
-600.2269743352693,83.72166096245428,1,3,0.6197043524372527
-630.1282930047183,64.13428802054568,1,-1,0.6002116967821205
-792.5395622295821,87.31694424460977,1,-1,0.4917699533107589
-960.6919744972979,54.415306046436285,1,3,0.41554120203188805
-795.6960516109766,104.18127450604646,1,3,0.48253492709026613
-785.2061511510672,82.26678871368756,1,-1,0.49493470375175264
-818.2738836550352,139.8873731106999,1,-1,0.4703647267213995
-1.1863907646404641,31.27117709881753,1,2,0.25225682125578497
-127.9848125611868,15.429469098694199,1,2,0.5705741156099107
124.67253490741382,-32.91493927480957,0,-1,0.059877280588151116
437.28260522860387,-37.832984504733275,0,-1,0.7896497840253662
-228.05731645732578,22.064639713926624,1,2,0.8050558327895241
-266.81026656010476,32.259028533548985,1,2,0.8859460865877886
492.08482223176156,51.22686158542206,0,-1,0.9005003130361313
-555.1378042552769,-22.499485607408047,1,-1,0.6687312761037707
105.67661278242917,44.916689006827426,0,2,0.0139243128167863
-50.37741605683209,46.41043914705608,1,2,0.37455682400729695
-377.49834324580445,44.85452944916187,1,-1,0.8974481614180576
-561.6677920982519,58.10744790378055,1,-1,0.6634220646477134
-677.6978538461672,-22.00003262276661,1,3,0.5699159887993104
-485.4539461761756,-3.3676057996663076,1,3,0.7538005537861505
-757.7958003224235,-33.14156069725993,1,-1,0.5168053863355111
-690.5248536815583,95.97022789913984,1,-1,0.5473209163988022
-203.3064522343543,120.85314311723891,1,3,0.6524633103955788
-313.08020397692496,79.71639409756187,1,3,0.8656865181153481
-456.4092072649087,72.84544496969397,1,-1,0.7627047312326463
-780.423673938448,29.938996027684595,1,-1,0.5031199925102703
-540.6354398577031,27.01349698602087,1,3,0.6885273204093754
-705.3114686968522,25.453497133573137,1,3,0.5495065031419804
-334.8607491325663,39.4446915734149,1,-1,0.924969724862164
-226.23878146981906,-41.79349570340452,1,-1,0.800983712679874
-213.5351432521844,-24.33318758443636,1,3,0.766565549352852
-125.53690478015574,10.08563474435715,1,3,0.5537286608907397
-125.60592299538143,-37.0903068183072,1,-1,0.5587029543867312
285.4795994436215,28.528761748906163,0,-1,0.4572806073711506
198.82976101980603,65.9775635963004,0,3,0.23820685086189308
32.425341249617304,33.950237903431,1,3,0.1645029250923884
-259.95812858797694,19.95831229020837,1,-1,0.8539503229340015
344.00872693467977,105.64244273762165,0,-1,0.5615642108545269
710.1910677240319,76.36818505200358,0,3,0.6925293462139563
1086.1553585427778,79.39959983528769,0,3,0.4432128933628037
644.4138848223099,87.38675827309947,0,-1,0.7498791494941324
632.1881933789464,77.49985446790663,0,-1,0.7780383417533832
362.7439107762,50.002616087692616,0,3,0.6342389593929718
-39.07735024915951,24.438817191789724,1,3,0.3496450532481734
192.43084646545185,23.163052321465386,0,-1,0.2276813390584833
422.5447531702796,51.26509635156782,0,-1,0.7395985940977006
837.4632445552352,71.68236415809889,0,3,0.5857053585845082
849.7083104312578,73.20949263780324,0,3,0.5773374440343535
1070.2724787208385,82.67863236177749,0,-1,0.4502961812286854
520.4629664054557,67.33479909563073,0,-1,0.8439588259273905
714.9312799842685,77.41390256290902,0,3,0.6879108105485507
-119.22775259821492,42.35500834504529,1,3,0.5362534834545811
-365.2798337860013,54.19590853640648,1,-1,0.8833855432950979
-418.2875719457629,-30.488300998782222,1,-1,0.8405663763817968
-103.62691265545345,-10.338148252637552,1,3,0.5104050176820305
-161.5779437711235,-35.970738221682524,1,3,0.6516975511286791
-162.55215625440223,-0.6098283393517931,1,-1,0.6570435425726753
-417.97948028890744,-39.93935395563716,1,-1,0.8354359815497594
-286.06217272799495,-25.226405617127142,1,3,0.9280999523407638
-127.37544786464741,-36.39332198004456,1,3,0.5665331881705993
-298.4946206135638,-52.00378763450027,1,-1,0.9087958008351544
-610.7029606359984,-84.97703152537818,1,-1,0.6108641504226158
-305.0731439213223,51.80788099461296,1,3,0.9144260220387868
-281.98241007964475,19.176569887305618,1,3,0.9212500688112062
36.73780378738843,31.711967958596347,1,-1,0.1569537107928154
-230.04717601848688,7.586144755675775,1,-1,0.8092654398183976
128.30401618023643,49.55034177324535,0,3,0.06975391889803428
-423.0479610878958,63.05798553928497,1,3,0.8149399251142639
-281.87331504957285,53.10781871647407,1,-1,0.8891530317201406
-59.2125524303533,22.6332132458748,1,-1,0.39254645184152803
-71.46824956654496,1.7231243953984858,1,3,0.41968456656934006
-203.6618930025395,-7.550524900522589,1,3,0.7228012498902152
-78.77972233858463,1.7380412145084279,1,-1,0.43724906095656624
-117.78762215418396,2.334988826847166,1,-1,0.5281316197037662
-324.23506255270377,-14.912734373711487,1,3,0.8700170642388503
-520.6794906351678,18.178218291593907,1,3,0.702894186961746
-215.73402179968855,84.83177316029219,1,-1,0.7280811493587072
-646.6029658274825,129.56754403653883,1,-1,0.5625146338991849
-723.8342815335652,75.61074400782991,1,3,0.530748953575815
-736.9347244107421,123.70547436443593,1,3,0.5120539757713254
-678.2673774544635,129.10091157508037,1,-1,0.5448317041205621
-716.0519798377439,101.37877664198555,1,-1,0.5323559488154406
-785.8797278414413,94.85738840141545,1,3,0.4932705728563125
-637.9610328120472,-0.09674875802647875,1,3,0.5997755682877255
-558.8111634168417,-3.017244166595333,1,-1,0.6700680233233098
-752.829300675347,-64.33638112905152,1,-1,0.5160690155744445
-549.9093667853335,50.170163171221475,1,3,0.6755217220997753
-626.737278664908,74.87151435716464,1,3,0.6002273858155953
-707.2479612500647,105.5112721172207,1,-1,0.5348037487044939
-529.4507140488355,78.52083040651127,1,-1,0.6850874747995908
-695.9436634767163,54.503806544536644,1,3,0.5543897984601356
-739.516347692431,89.97306756470516,1,3,0.517458262782756
-659.9483140373262,32.30071001860159,1,-1,0.5800704611747194
-739.4123878854341,45.56639017039822,1,-1,0.5258853878069176
-672.0382460538268,21.635083962299234,1,3,0.5721377464311745
-868.4802604758146,81.6856709139405,1,3,0.4538850705283699
-263.2777727328596,23.968272102799574,1,-1,0.8836859243132638
255.10335450207708,73.73786830593582,0,-1,0.3805519059688125
322.8489778381845,21.541779262457965,0,3,0.5583564490033797
-141.32082713796171,23.872272506225386,1,3,0.6000845375980233
-142.8376416696476,48.77513875574118,1,-1,0.6025092780532499
-312.31399985142525,32.752222825872934,1,-1,0.9447168468852305
-382.40880950045266,-5.576891438638654,1,3,0.9016390572912876
-179.60030471379696,25.67894644507004,1,3,0.6921791537589779
-80.21703419805658,-11.14127349274628,1,-1,0.4421683781374455
-23.7253210198096,0.9778505773859365,1,-1,0.30709947869458
-23.740637315392632,34.343887716227016,1,3,0.30804465235380296
-51.89271633168323,16.964077652032586,1,3,0.3790500726805097
112.57043963913793,29.50536932938303,0,-1,0.030985322425426842
-618.9897801596967,-6.903369335189609,1,-1,0.6139039973093703
-153.35600296723646,30.929461092760334,1,3,0.6086023333506081
-248.89942051171386,-16.93249228313647,1,3,0.8510283432277457
